$ python popular_tweets.py
# RT  | # Fav | Tweet text (status)
--------------------------------------------------------------------------------------------------------------------------------------------
2     | 8     | #100DaysOfCode - Day 092: #Python script to ping every IP on a specified #network https://t.co/Ys78WTZeKj #Python (880545170252484610)
1     | 9     | #100DaysOfCode - Day 086: Script to pull some quick stats from a #Twitter Archive CSV https://t.co/DwDw36bBj7 #Python (878355742964580352)
5     | 5     | #100DaysOfCode - Day 084: Use PyGithub to retrieve some basic stats for a GH user https://t.co/ojbRZH1Ngy #Python (877627944818024448)
3     | 7     | #100DaysOfCode - Day 036: Use #Python #pickle to store and retrieve a defaultdict https://t.co/ZheFpoGHGu #Python (860231063615840256)
4     | 6     | #100DaysOfCode - Day 028: Jupyter notebook to plot and list new #Python titles on @safari by month https://t.co/LNWUIEr8zO #Python (857331962989510656)
3     | 7     | #100DaysOfCode - Day 021: script to make an index of modules used for this challenge (stdlib &gt;50%) https://t.co/LSkcLT8Xcy #Python (854795247510994944)
4     | 6     | #100DaysOfCode - Day 017: script to automatically tweet out new @safari Python titles https://t.co/4nPyS5ImV6 #Python (853345699043332096)
4     | 5     | #100DaysOfCode - Day 088: Using #Slack Real Time Messaging #API to capture all messages https://t.co/VUNjrRhiCG #Python (879077499250003968)
4     | 5     | #100DaysOfCode - Day 078: Use a context manager to rollback a transaction https://t.co/Bvhlxmg194 #Python (875453618169577472)
3     | 6     | #100DaysOfCode - Day 064: Prework code challenge #21: ApplianceCost class to calc energy cost https://t.co/KOUXxr9KNB #Python (870385222990176256)
3     | 6     | #100DaysOfCode - Day 059: Using the #Twilio #API to send SMS messages https://t.co/dkA2skiolM #Python (868568250681970689)
2     | 7     | #100DaysOfCode - Day 053: Script to start automating posting to our PyBites FB group https://t.co/WOaRlkxcJx #Python (866407154609037312)
2     | 7     | #100DaysOfCode - Day 008: reusable python flask html template for printing a dict https://t.co/bSL5V4y7oj #Python (850084203962089472)
3     | 6     | #100DaysOfCode - Day 007: script to automatically tweet 100DayOfCode progress tweet https://t.co/n9L1fTj8Bz #Python (849721815538712576)
2     | 6     | #100DaysOfCode - Day 067: #Python script to pull a random entry from an #sqlite db https://t.co/i2Iro5yukd #Python (871482452757200897)
3     | 5     | #100DaysOfCode - Day 057: Using the #YouTube #API to determine most popular #PyCon2017 talks https://t.co/9r4oVM7Jcj #Python (867843473973444608)
3     | 5     | #100DaysOfCode - Day 035: Text replacer script using #pyperclip by @AlSweigart https://t.co/MXPsfu7cdr #Python (859868678254350336)
2     | 6     | #100DaysOfCode - Day 034: Import a #podcast feed into a DB table with #SQLAlchemy https://t.co/KtKBgXO6Zd #Python (859506291210731521)
1     | 7     | #100DaysOfCode - Day 030: Script to import movie csv file into an sqlite database https://t.co/qlld9p48z1 #Python (858056747516182528)
2     | 6     | #100DaysOfCode - Day 005: script to create a 100DaysOfCode tweet https://t.co/oNhW5tS6n9 #Python (848659929393180672)
2     | 5     | #100DaysOfCode - Day 093: Refactored day 86's Tweet Achive Stats script into a Package https://t.co/iSV8fGS0lE #Python (880907560026427392)
2     | 5     | #100DaysOfCode - Day 085: #Python script to list out the current exchange rate https://t.co/JEvYCzyRTh #Python (877990333178564608)
2     | 5     | #100DaysOfCode - Day 074: Using Pillow to add text and opacity to an image = your own cards https://t.co/uWEo3nW9Cu #Python (874014918449680388)
3     | 4     | #100DaysOfCode - Day 072: Packt ebook download manager https://t.co/3SmBgHYPO3 #Python (873298420319965184)
3     | 4     | #100DaysOfCode - Day 039: #Python script to give you every valid dictionary match of a specified letter ... https://t.co/HXkd94ZAnM #Python (861318225736290304)
1     | 6     | #100DaysOfCode - Day 037: #Python script to pull down an #XML feed and save it https://t.co/N1PTn00yvj #Python (860593449854050304)
2     | 5     | #100DaysOfCode - Day 016: script to #ssh to specified IPs and check their hostnames https://t.co/mPTmZ4RVWH #Python (852983305905491968)
3     | 4     | #100DaysOfCode - Day 014: script to automatically tweet out new @lynda (#Python) titles https://t.co/i7yasDEUyv #Python (852258532913102848)
3     | 4     | #100DaysOfCode - Day 011: generic script to email the contents of a text file https://t.co/kV0socnMST #Python (851171368834015232)
0     | 7     | #100DaysOfCode - Day 002: script to print out valid IPs of a specified user specified network https://t.co/gPvRe6EseJ (847800530843860992)
0     | 6     | #100DaysOfCode - Day 094: Simple Python script to #scp get a file from a remote host https://t.co/r63Eiuf1R9 #Python (881269946470117376)
2     | 4     | #100DaysOfCode - Day 091: Showing the broadcasting network for a show using TheTVDB API https://t.co/RjPQxBMTcO #Python (880182784039440385)
2     | 4     | #100DaysOfCode - Day 081: Using unittest mock patch to test Tweepy code without calling the API https://t.co/1cTwGxpvLz #Python (876540782575886337)
1     | 5     | #100DaysOfCode - Day 079: #Python script to capture exceptions when creating an #sqlite db https://t.co/afDF3IzqGa #Python (875816005838135296)
1     | 5     | #100DaysOfCode - Day 054: Script to create a person #class and calculate BMI https://t.co/Ee4zMEKGLh  … #Python (866848888891744256)
2     | 4     | #100DaysOfCode - Day 051: Use #Python #requests module on a page behind a login https://t.co/1klrgIXOnH #Python (865735397199888384)
2     | 4     | #100DaysOfCode - Day 050: Use folium to draw a map with cities I traveled to https://t.co/YAHxZKxlrY #Python (865328903753158657)
1     | 5     | #100DaysOfCode - Day 046: Get friends updates from Goodreads #API #books https://t.co/9Tu8DhFuNj #Python (863909821069709313)
2     | 4     | #100DaysOfCode - Day 045: #steam XML feed scraper for new #game releases https://t.co/w5eA64oDNM #Python (863676368579469312)
2     | 4     | #100DaysOfCode - Day 044: Random name generator, reading in a bunch of names from a CSV file https://t.co/cHzZdOHBAr #Python (863130167719284736)
2     | 4     | #100DaysOfCode - Day 041: Script to check all possible combinations of letters and match against a dicti... https://t.co/56sMpJjWf6 #Python (862043002839023616)
1     | 5     | #100DaysOfCode - Day 029: Traffic Lights script to demo #itertools cycle https://t.co/AoNwbklIg5 #Python (857694348254756864)
3     | 3     | #100DaysOfCode - Day 018: using #pytest to write tests for @safari RSS scraper (day 017) https://t.co/RWIEw7Pl2t #Python (853708084455251968)
1     | 4     | #100DaysOfCode - Day 075: #Python script to take screenshots using #pyscreeze @AlSweigart https://t.co/jURbnimd6Y #Python (874366461912821760)
0     | 5     | #100DaysOfCode - Day 070: How to parse html tables with #pandas (#jupyter notebook) https://t.co/ScxtNzq303 #Python (872554516746428416)
1     | 4     | #100DaysOfCode - Day 069: #Python CLI based #Pomodoro Timer with #webbrowser alarm https://t.co/3N4ZwK9LrL #Python (872192129795186688)
1     | 4     | #100DaysOfCode - Day 068: @mohhinder translated our 'from PyBites import newsletter' into code https://t.co/6ynnsBlS6e #Python (871829742168588288)
3     | 2     | #100DaysOfCode - Day 043: Script to read in a list and reverse its contents https://t.co/FdytckaNgw #Python (862778613132808192)
2     | 3     | #100DaysOfCode - Day 042: Using #Python icalendar module to parse FB birthdays cal (ics file) https://t.co/mBfWyYjAeV #Python (862405393149906944)
3     | 2     | #100DaysOfCode - Day 033: I need to drink more water at work so I wrote a #Python #script to remind (spa... https://t.co/OuuZeORbNy #Python (859143901520699392)
1     | 4     | #100DaysOfCode - Day 020: monitor #Twitter and post to #slack each time our domain gets mentioned https://t.co/AQpYOxDxi1 #Python (854432856386420736)
1     | 4     | #100DaysOfCode - Day 012: using OpenWeatherMap #API to compare weather in Australia vs Spain https://t.co/h0gxy7K2C0 #Python (851533756095537152)
1     | 4     | #100DaysOfCode - Day 010: script to spot cheap @transavia flights using their #API https://t.co/THZQRdsbCm #Python (850808979466756096)
2     | 3     | #100DaysOfCode - Day 004: script that converts a text list to a text string https://t.co/kdRkwGe27h #Python (848523263248564225)
0     | 4     | #100DaysOfCode - Day 095: Class to cache moviedb API responses #shelve #decorator #namedtuple https://t.co/u6yQt9ttFs #Python (881632332926533632)
2     | 2     | #100DaysOfCode - Day 080: "Is this Bob or Julian?" - script to reveal who of @pybites tweets https://t.co/BGo97eXUAG #Python (876178394488070144)
1     | 3     | #100DaysOfCode - Day 049: Email contents of an #sqlite db https://t.co/cBIedbdbwp #Python (864944369475796992)
1     | 3     | #100DaysOfCode - Day 048: Use the Faker module to get (random) fake Dutch names https://t.co/ZZTT1C0fg5 #Python (864581985246658562)
1     | 3     | #100DaysOfCode - Day 047: Customisable script for pulling down XML feeds with a cron job https://t.co/8sMXlib2te #Python (864243714712936449)
1     | 3     | #100DaysOfCode - Day 027: rough script to query the #warcraft #API for a character's mounts https://t.co/sMvmlbV8F0 #Python (856969572296966144)
1     | 3     | #100DaysOfCode - Day 024: generate color hex codes from random RGBs and color terminal text https://t.co/PtTTDbthGA #Python (855882411388698624)
2     | 2     | #100DaysOfCode - Day 019: paste in a list of numbers from the clipboard, sort to ascending then copy bac... https://t.co/yg6BsAdU5X #Python (854070471477780480)
2     | 2     | #100DaysOfCode - Day 015: script to calculate the number of posts on @pybites https://t.co/Nvqp0rMuGk #Python (852620919994372096)
2     | 2     | #100DaysOfCode - Day 009: interactive script to create a new Pelican blog article https://t.co/Tg7sjYHz8j #Python (850446592507133952)
1     | 2     | #100DaysOfCode - Day 076: Script to scrape Packt free ebook site and send html notification mail https://t.co/Bol7mcSc9I #Python (874728846271983616)
0     | 3     | #100DaysOfCode - Day 073: #Python script to download a file using #FTP https://t.co/dF8dd0o89g #Python (873660806809894912)
0     | 3     | #100DaysOfCode - Day 071: How to calculate the # of days between two dates #Python #datetime https://t.co/J78b38HFPd #Python (872916907602485248)
0     | 3     | #100DaysOfCode - Day 055: Parse/store #PyCon2017 talks meta data in DB - #BeautifulSoup #sqlite https://t.co/co0y5MXts7 #Python (867118700393922560)
1     | 2     | #100DaysOfCode - Day 040: PyBites podcast challenge 17 in less than 100 LOC using #scheduler and #shelve https://t.co/iQkcR0dPW9 #Python (861680615321591808)
1     | 2     | #100DaysOfCode - Day 022: create and paste #Amazon affiliation link to clipboard #pyperclip @AlSweigart https://t.co/4Wy244OgRW #Python (855157635695263744)
1     | 2     | #100DaysOfCode - Day 003: script to generate a gif from various png/jpg images https://t.co/9D5ZORJ6qL #Python (848053523833028608)
1     | 1     | #100DaysOfCode - Day 090: Playing with TheTVDB API to scrape some movies/series info https://t.co/3Tl2XAOX8B #Python (879820397335597056)
1     | 1     | #100DaysOfCode - Day 077: Blank template of a #Python #class and #subclass https://t.co/qDEWbjgfSD #Python (875091232304877571)
